,Date,Open,High,Low,Close,Adj Close,Volume,sentiment_score,MA7,MA20,MACD,20SD,upper_band,lower_band,EMA,logmomentum
2021-11-16,2021-11-16,334.4366760253906,352.3999938964844,334.0599975585937,351.57666015625,351.57666015625,79627200,0.1671217054263566,353.3066624232701,356.7926651000977,-8.795371568826226,35.92721501441257,428.64709512892284,284.9382350712725,348.1266197331083,5.859579399125284
2021-11-17,2021-11-17,354.5033264160156,373.21331787109375,351.8333435058594,363.0033264160156,363.0033264160156,94336200,0.20657699115044248,349.7861851283482,360.51283111572263,-7.334514000933723,32.1477441824834,424.8083194806894,296.21734275075585,358.0444241883799,5.891653400778071
2021-11-18,2021-11-18,368.8500061035156,370.6666564941406,358.3399963378906,365.4599914550781,365.4599914550781,62696700,0.1817234375,353.2566615513393,363.8858306884766,-8.02242265027786,28.585190758585746,421.0562122056481,306.71544917130507,362.98813569951204,5.898416782612477
2021-11-19,2021-11-19,366.2900085449219,379.5733337402344,364.23333740234375,379.0199890136719,379.0199890136719,64926900,0.1773512195121951,356.54761178152904,367.6754974365234,-7.048266984616191,24.90764524382323,417.49078792416987,317.86020694887696,373.6760379089519,5.934947075209988
2021-11-22,2021-11-22,387.4433288574219,400.6499938964844,377.4766540527344,385.6233215332031,385.6233215332031,99217500,0.21149999999999994,360.99332536969865,369.8756637573242,-8.796700056787756,24.423721851123137,418.7231074595705,321.02822005507795,381.64089365845274,5.95226446972811
2021-11-23,2021-11-23,389.1700134277344,393.5,354.2333374023437,369.6766662597656,369.6766662597656,108515100,0.19506746031746028,364.5938023158482,371.38566436767576,-11.595192883293521,23.355584663245583,418.09683369416695,324.67449504118457,373.66474205932803,5.909920016716581
2021-11-24,2021-11-24,360.1300048828125,377.5899963378906,354.0,372.0,372.0,67680600,0.25327755102040816,369.47999354771207,372.68799743652346,-9.229401984727872,22.57599581218321,417.8399890608899,327.53600581215704,372.55491401977605,5.916202062607435
2021-11-26,2021-11-26,366.489990234375,369.5933227539063,360.3333435058594,360.6400146484375,360.6400146484375,35042700,0.11017011494252875,370.7747584751674,372.76933135986326,-8.992532287734036,22.527014631568434,417.8233606230001,327.7153020967264,364.61164777221705,5.885103571847407
2021-11-29,2021-11-29,366.9966735839844,380.8900146484375,366.7300109863281,378.9966735839844,378.9966735839844,58393500,0.1828412371134021,373.0595223563058,373.15249786376955,-7.433405674882806,22.566443152648052,418.28538416906565,328.01961155847346,374.20166498006193,5.9348853955384975
2021-11-30,2021-11-30,381.4566650390625,389.3333435058594,372.6666564941406,381.586669921875,381.586669921875,81276000,0.12931326530612247,375.3633335658482,372.08866424560546,-8.015508010437088,21.5716784567702,415.23202115914586,328.94530733206506,379.1250016079373,5.941713930396558
2021-12-01,2021-12-01,386.8999938964844,390.9466552734375,363.586669921875,365.0,365.0,68450400,0.16871565217391304,373.36047799246654,370.8053314208984,-10.487453520534643,21.167971609839277,413.14127464057697,328.4693882012199,369.7083338693124,5.8971538676367405
2021-12-02,2021-12-02,366.3533325195313,371.0,352.2166748046875,361.5333251953125,361.5333251953125,73114800,0.11983189655172417,369.91904994419644,368.6509979248047,-9.658217007908036,19.686079748912903,408.0231574226305,329.2788384269789,364.2583280866458,5.8875843940484165
2021-12-03,2021-12-03,361.5966796875,363.5266723632813,333.4033203125,338.3233337402344,338.3233337402344,92322000,0.17064444444444446,365.44000244140625,365.06866455078125,-9.992211608172795,18.2369461824982,401.54255691577765,328.59477218578485,346.9683318557049,5.82104191767739
2021-12-06,2021-12-06,333.836669921875,340.5466613769531,316.8333435058594,336.336669921875,336.336669921875,81663000,0.17652919254658384,360.3452410016741,361.5173309326172,-6.286055477187176,16.3893197838268,394.2959705002708,328.7386913649636,339.88055723315165,5.815135012007307
2021-12-07,2021-12-07,348.0666809082031,352.5566711425781,342.2699890136719,350.5833435058594,350.5833435058594,56084700,0.16254913793103457,358.90857369559154,359.6641647338867,-4.389609494944011,15.34122689454697,390.34661852298063,328.9817109447928,347.0157480816235,5.856741998212308
2021-12-08,2021-12-08,350.9033203125,357.4599914550781,344.3333435058594,356.32000732421875,356.32000732421875,41906400,0.2760970588235294,355.66904994419644,360.4218322753906,-2.82664126735267,14.742091520543708,389.90601531647803,330.9376492343032,353.218587576687,5.8730188125145215
2021-12-09,2021-12-09,353.5466613769531,354.163330078125,334.1199951171875,334.6000061035156,334.6000061035156,59438400,0.10776822429906543,348.95666939871654,359.35266571044923,-3.558769914094512,15.817146114335175,390.9869579391196,327.7183734817789,340.8061999279061,5.8099426887805015
2021-12-10,2021-12-10,336.25,340.32666015625,327.510009765625,339.010009765625,339.010009765625,59664300,0.22066055045871555,345.24381365094865,358.5779998779297,-1.3137647974685365,16.434504026106058,391.4470079301418,325.7089918257176,339.6087398197187,5.823075509735711
2021-12-13,2021-12-13,333.6966552734375,335.0,317.1400146484375,322.1366577148437,322.1366577148437,78595500,0.1694893939393939,339.61571829659596,357.46116638183594,-0.38896799970297025,18.11636193807164,393.6938902579792,321.22844250569267,327.9606850831354,5.771866757503213
2021-12-14,2021-12-14,315.0,322.1366577148437,310.0,319.5033264160156,319.5033264160156,70806300,0.1389466165413534,336.9271458217076,356.54649963378904,2.8858871764383025,19.565304119036195,395.67710787186144,317.41589139571664,322.3224459717222,5.763632918964008
2021-12-15,2021-12-15,317.7366638183594,326.25,309.4166564941406,325.3299865722656,325.3299865722656,75169200,0.18522156862745104,335.3547624860491,355.23416595458986,5.487174934305585,20.759967003464375,396.7540999615186,313.7142319476611,324.3274730387511,5.781761474571333
2021-12-16,2021-12-16,331.5,331.6600036621094,307.2833251953125,308.97332763671875,308.97332763671875,82771500,0.21368157894736847,329.4104745047433,352.532666015625,4.202085690834849,23.081425248917483,398.69551651346,306.36981551779,314.0913761040629,5.730013180641619
2021-12-17,2021-12-17,304.92333984375,320.2200012207031,303.0133361816406,310.8566589355469,310.8566589355469,100437300,0.16675663716814157,322.91571044921875,349.80249938964846,7.120383537312762,24.64803746422101,399.09857431809047,300.50642446120645,311.93489799171886,5.736109800013232
2021-12-20,2021-12-20,303.5666809082031,307.2300109863281,297.7966613769531,299.9800109863281,299.9800109863281,56480100,0.13074215686274507,317.9699968610491,345.8505004882812,8.785842203448851,26.0154225618454,397.88134561197205,293.8196553645904,303.96497332145833,5.700376718267398
2021-12-21,2021-12-21,305.6233215332031,313.1666564941406,295.3733215332031,312.84332275390625,312.84332275390625,71517900,0.12226862745098037,314.23189871651783,342.2115005493164,10.596853569843972,25.237807986554447,392.6871165224253,291.73588457620747,309.88387294309024,5.742500891019012
2021-12-22,2021-12-22,321.8866577148437,338.5533447265625,319.01666259765625,336.2900085449219,336.2900085449219,93634200,0.2007520958083832,316.2538059779576,340.5421676635742,11.230501943431534,24.416331227646644,389.3748301188675,291.7095052082809,327.4879633443113,5.81499585447443
2021-12-23,2021-12-23,335.6000061035156,357.6600036621094,332.5199890136719,355.6666564941406,355.6666564941406,92713200,0.23225714285714277,321.4199959891183,339.7255004882812,11.102980800034913,23.567153126555898,386.859806741393,292.59119423516944,346.2737587775309,5.871178352551545
2021-12-27,2021-12-27,357.8900146484375,372.3333435058594,356.9066772460937,364.6466674804688,364.6466674804688,71145900,0.17956896551724147,327.0366646902902,339.9258331298828,8.347451046011315,23.77044651360995,387.4667261571027,292.3849401026629,358.5223645794895,5.896182702473502
2021-12-28,2021-12-28,369.8299865722656,373.0,359.47332763671875,362.8233337402344,362.8233337402344,60324000,0.23349523809523806,334.7295227050781,339.11716613769534,4.197477395728129,22.618500271374916,384.3541666804452,293.8801655949455,361.3896773533194,5.891156064359286
2021-12-29,2021-12-29,366.21331787109375,368.0,354.7133178710937,362.0633239746094,362.0633239746094,56154000,0.13090838323353296,342.04476056780135,338.14099884033203,1.3182035674985855,21.05649529986418,380.2539894400604,296.02800824060364,361.8387751008461,5.889053355621925
2021-12-30,2021-12-30,353.77667236328125,365.1833190917969,351.04998779296875,356.7799987792969,356.7799987792969,47040900,0.1162617886178862,350.15904453822543,337.72999877929686,0.5192771803018559,20.5794632511166,378.8889252815301,296.57107227706365,358.4662575531466,5.874312558866062
2021-12-31,2021-12-31,357.8133239746094,360.6666564941406,351.5299987792969,352.260009765625,352.260009765625,40733700,0.16684140625,355.78999982561385,337.2663330078125,-1.0363830680083197,20.1141413964609,377.49461580073427,297.0380502148907,354.3287590281322,5.8615267177952886
2022-01-03,2022-01-03,382.5833435058594,400.3566589355469,378.6799926757813,399.9266662597656,399.9266662597656,103931400,0.12892410423452755,364.8809509277344,340.34649963378905,-2.5644367397675296,24.519000776027063,389.3845011858432,291.3084980817349,384.72736384922115,5.988777606162532
2022-01-04,2022-01-04,396.51666259765625,402.6666564941406,374.3500061035156,383.1966552734375,383.1966552734375,100248300,0.0883492857142857,368.81380789620533,342.6894989013672,-6.92452704771074,26.290593449596745,395.27068580056067,290.1083120021737,383.70689146536535,5.945935280520987
2022-01-05,2022-01-05,382.2166748046875,390.11334228515625,360.336669921875,362.7066650390625,362.7066650390625,80119800,0.08647727272727271,368.5366646902902,343.29566497802733,-9.73920330164242,26.619874041777564,396.53541306158246,290.0559168944722,369.70674051449674,5.890833565769373
2022-01-06,2022-01-06,359.0,362.6666564941406,340.1666564941406,354.8999938964844,354.8999938964844,90336600,0.146734188034188,367.4047589983259,343.22466430664065,-9.065083018709515,26.585178221383902,396.39502074940845,290.05430786387285,359.83557610248846,5.869014370104976
